Loc,date_dec,meansst
Bichen,1993.9150684931508,15.1699996609241
BassSt,1993.9150684931508,15.7280641645794
Port P,1993.9150684931508,16.7083867233126
Jervis,1993.9150684931508,20.534838250688
Jurien,1993.9150684931508,20.5722576046903
Port D,1994,13.6861287263492
Ninepi,1994,14.1045158137718
Tinder,1994,14.2232254885377
Maria ,1994,15.6854835203699
Bichen,1994,16.1148383494827
BassSt,1994,16.2454835078529
Port P,1994,16.8732254293056
Jervis,1994,22.6674188481824
Jurien,1994,21.227096299731
Port D,1994.0849315068492,15.6749996496364
Ninepi,1994.0849315068492,15.7532139336025
Tinder,1994.0849315068492,16.0985710687403
Maria ,1994.0849315068492,16.996785334378
Bichen,1994.0849315068492,16.943928192702302
BassSt,1994.0849315068492,17.3664281832586
Port P,1994.0849315068492,18.3374995901249
Jervis,1994.0849315068492,22.6207137801019
Jurien,1994.0849315068492,22.2474995027296
Port D,1994.1616438356164,14.9306448275644
Ninepi,1994.1616438356164,15.4845157829264
Tinder,1994.1616438356164,15.6761286818693
Maria ,1994.1616438356164,16.8258060755268
Bichen,1994.1616438356164,17.1512899392194
BassSt,1994.1616438356164,16.9238705894639
Port P,1994.1616438356164,17.8516125042112
Jervis,1994.1616438356164,21.9561285415003
Jurien,1994.1616438356164,22.7509672334117
Port D,1994.2465753424658,14.3636663456137
Ninepi,1994.2465753424658,14.7883330027883
Tinder,1994.2465753424658,14.9663329988097
Maria ,1994.2465753424658,15.6533329834541
Bichen,1994.2465753424658,16.0159996420145
BassSt,1994.2465753424658,16.4463329657291
Port P,1994.2465753424658,17.0556662854428
Jervis,1994.2465753424658,20.5273328745117
Jurien,1994.2465753424658,23.1446661493431
Port D,1994.3287671232877,13.7480642088358
Ninepi,1994.3287671232877,13.6567738882957
Tinder,1994.3287671232877,13.6609674365891
Maria ,1994.3287671232877,13.9812900100745
Bichen,1994.3287671232877,14.4177416132222
BassSt,1994.3287671232877,15.0216125674666
Port P,1994.3287671232877,15.4119351393874
Jervis,1994.3287671232877,18.6722576471586
Jurien,1994.3287671232877,22.7729027167924
Port D,1994.4136986301369,13.0546663748721
Ninepi,1994.4136986301369,12.7256663822259
Tinder,1994.4136986301369,12.5323330532139
Maria ,1994.4136986301369,12.6833330498387
Bichen,1994.4136986301369,12.8309997132048
BassSt,1994.4136986301369,12.7436663818235
Port P,1994.4136986301369,13.7456663594271
Jervis,1994.4136986301369,17.6063329398011
Jurien,1994.4136986301369,21.6999995149672
Port D,1994.495890410959,13.1706448669035
Ninepi,1994.495890410959,12.4867739144472
Tinder,1994.495890410959,12.1538706960817
Maria ,1994.495890410959,12.5267739135532
Bichen,1994.495890410959,12.8287093906753
BassSt,1994.495890410959,12.0583868272482
Port P,1994.495890410959,12.9732255164774
Jervis,1994.495890410959,16.9706447819668
Jurien,1994.495890410959,21.3877414574306
Port D,1994.5808219178082,11.4048384547594
Ninepi,1994.5808219178082,11.657741674913
Tinder,1994.5808219178082,11.5048384525242
Maria ,1994.5808219178082,11.8280642517512
Bichen,1994.5808219178082,12.0919352135951
BassSt,1994.5808219178082,11.763548124161
Port P,1994.5808219178082,12.5074190752761
Jervis,1994.5808219178082,17.0974189726816
Jurien,1994.5808219178082,20.759031794064
Port D,1994.6657534246576,10.7496664263929
Ninepi,1994.6657534246576,10.8246664247165
Tinder,1994.6657534246576,10.5839997634292
Maria ,1994.6657534246576,11.0423330865179
Bichen,1994.6657534246576,11.2229997491464
BassSt,1994.6657534246576,11.2176664159323
Port P,1994.6657534246576,11.9876663987214
Jervis,1994.6657534246576,16.8016662911202
Jurien,1994.6657534246576,19.7906662243108
Port D,1994.7479452054795,10.9380642716442
Ninepi,1994.7479452054795,11.2703223287338
Tinder,1994.7479452054795,11.3099997472018
Maria ,1994.7479452054795,11.763225543523
Bichen,1994.7479452054795,12.4664513342563
BassSt,1994.7479452054795,12.2190319849479
Port P,1994.7479452054795,13.147419060971
Jervis,1994.7479452054795,17.1403221975291
Jurien,1994.7479452054795,19.4645156939664
Port D,1994.8328767123287,11.5773330745598
Ninepi,1994.8328767123287,11.9693330657979
Tinder,1994.8328767123287,12.0209997313097
Maria ,1994.8328767123287,12.6723330500846
Bichen,1994.8328767123287,13.0303330420827
BassSt,1994.8328767123287,13.3199997022748
Port P,1994.8328767123287,14.5673330077281
Jervis,1994.8328767123287,18.3853329223891
Jurien,1994.8328767123287,20.5109995415434
Port D,1994.9150684931508,13.8438706583073
Ninepi,1994.9150684931508,13.661612597865
Tinder,1994.9150684931508,13.9287093660884
Maria ,1994.9150684931508,15.1961286925981
Bichen,1994.9150684931508,15.3309673992617
BassSt,1994.9150684931508,15.8112899691708
Port P,1994.9150684931508,17.0380641352986
Jervis,1994.9150684931508,20.6241930874004
Jurien,1994.9150684931508,21.6267737101523
Port D,1995,14.8941932154759
Ninepi,1995,15.1735480479415
Tinder,1995,15.2532254655154
Maria ,1995,16.3283867318063
Bichen,1995,16.5725802747352
BassSt,1995,17.2783867105721
Port P,1995,17.9464512117688
Jervis,1995,21.3941930701896
Jurien,1995,22.2638704701056
Port D,1995.0849315068492,16.2032139235442
Ninepi,1995.0849315068492,15.7860710757252
Tinder,1995.0849315068492,15.8264282176803
Maria ,1995.0849315068492,17.3614281833704
Bichen,1995.0849315068492,17.9771424553224
BassSt,1995.0849315068492,18.4939281580571
Port P,1995.0849315068492,19.2682138550361
Jervis,1995.0849315068492,21.7439280854139
Jurien,1995.0849315068492,22.834999489598
Port D,1995.1616438356164,15.1164512750242
Ninepi,1995.1616438356164,15.6719351335759
Tinder,1995.1616438356164,15.7629028734781
Maria ,1995.1616438356164,16.9212899443603
Bichen,1995.1616438356164,17.7877415378969
BassSt,1995.1616438356164,18.1383866913496
Port P,1995.1616438356164,18.3293544290167
Jervis,1995.1616438356164,22.6425801390602
Jurien,1995.1616438356164,23.3529027038284
Port D,1995.2465753424658,12.8959997117519
Ninepi,1995.2465753424658,13.1966663716982
Tinder,1995.2465753424658,13.4146663668255
Maria ,1995.2465753424658,14.8926663337896
Bichen,1995.2465753424658,15.6829996494576
BassSt,1995.2465753424658,15.5003329868739
Port P,1995.2465753424658,15.3569996567443
Jervis,1995.2465753424658,20.1916662153477
Jurien,1995.2465753424658,24.0613327955206
Port D,1995.3287671232877,12.5593545579862
Ninepi,1995.3287671232877,12.3874190779583
Tinder,1995.3287671232877,12.3093545635742
Maria ,1995.3287671232877,13.6777416297625
Bichen,1995.3287671232877,14.109354523341
BassSt,1995.3287671232877,14.2651609714714
Port P,1995.3287671232877,14.3793545173061
Jervis,1995.3287671232877,19.684838269687
Jurien,1995.3287671232877,22.4145156280288
Port D,1995.4136986301369,12.494999720715
Ninepi,1995.4136986301369,12.2439997263253
Tinder,1995.4136986301369,12.028666397805
Maria ,1995.4136986301369,12.4206663890431
Bichen,1995.4136986301369,12.7859997142106
BassSt,1995.4136986301369,13.5533330303927
Port P,1995.4136986301369,13.5153330312421
Jervis,1995.4136986301369,17.2793329471101
Jurien,1995.4136986301369,21.509999519214
Port D,1995.495890410959,12.1554835992715
Ninepi,1995.495890410959,11.7861287688176
Tinder,1995.495890410959,11.6793545776558
Maria ,1995.495890410959,11.8280642517512
Bichen,1995.495890410959,12.2587094034158
BassSt,1995.495890410959,11.8674190895812
Port P,1995.495890410959,12.3387094016277
Jervis,1995.495890410959,15.4725802993222
Jurien,1995.495890410959,20.7690317938405
Port D,1995.5808219178082,11.8235481228199
Ninepi,1995.5808219178082,11.6590319974648
Tinder,1995.5808219178082,11.6938707063636
Maria ,1995.5808219178082,11.7932255428525
Bichen,1995.5808219178082,11.9570965069316
BassSt,1995.5808219178082,12.0029029575207
Port P,1995.5808219178082,12.2019352111365
Jervis,1995.5808219178082,15.7880641632383
Jurien,1995.5808219178082,19.9303221351677
Port D,1995.6657534246576,10.990999754332
Ninepi,1995.6657534246576,11.4539997439832
Tinder,1995.6657534246576,11.5399997420609
Maria ,1995.6657534246576,11.4666664103667
Bichen,1995.6657534246576,11.7183330714082
BassSt,1995.6657534246576,11.7229997379705
Port P,1995.6657534246576,12.091333063071
Jervis,1995.6657534246576,15.2323329928642
Jurien,1995.6657534246576,19.6999995596707
Port D,1995.7479452054795,10.8309674998445
Ninepi,1995.7479452054795,11.6058061922029
Tinder,1995.7479452054795,11.6296771594113
Maria ,1995.7479452054795,11.5629029673554
Bichen,1995.7479452054795,12.0077416670899
BassSt,1995.7479452054795,12.6354835885427
Port P,1995.7479452054795,13.6280642115181
Jervis,1995.7479452054795,16.5341931788191
Jurien,1995.7479452054795,20.1316124532492
Port D,1995.8328767123287,12.0306663977603
Ninepi,1995.8328767123287,11.8973330674072
Tinder,1995.8328767123287,12.0406663975368
Maria ,1995.8328767123287,12.7886663808177
Bichen,1995.8328767123287,13.9673330211391
BassSt,1995.8328767123287,13.7046663603435
Port P,1995.8328767123287,14.2773330142101
Jervis,1995.8328767123287,19.2789995690808
Jurien,1995.8328767123287,20.6356662054236
Port D,1995.9150684931508,12.7690319726544
Ninepi,1995.9150684931508,13.2177416400443
Tinder,1995.9150684931508,13.2103222853714
Maria ,1995.9150684931508,13.8025803366496
Bichen,1995.9150684931508,14.6548383821162
BassSt,1995.9150684931508,14.828064184696
Port P,1995.9150684931508,15.6887093267494
